game,evidence_score,message_count,mention_occurrences,participant_count,active_year_count,play_context_messages,top_years,top_aliases
Dota 2 / Dota,1077.5,780,810,15,10,90,"[[""2017"", 269], [""2016"", 211], [""2018"", 107], [""2020"", 82], [""2019"", 47]]","[[""dota"", 694], [""dota2"", 108], [""dota 2"", 8]]"
World of Warcraft,1024.25,689,758,16,11,141,"[[""2016"", 263], [""2017"", 156], [""2018"", 93], [""2020"", 57], [""2019"", 40]]","[[""wow"", 508], [""魔兽"", 185], [""魔兽世界"", 61], [""world of warcraft"", 4]]"
Overwatch,356.5,92,120,12,10,18,"[[""2016"", 42], [""2017"", 17], [""2018"", 11], [""2020"", 8], [""2021"", 5]]","[[""守望"", 63], [""overwatch"", 31], [""守望先锋"", 26]]"
The Legend of Zelda,348.75,88,89,11,10,23,"[[""2018"", 48], [""2017"", 11], [""2023"", 9], [""2025"", 6], [""2020"", 5]]","[[""塞尔达"", 72], [""zelda"", 17]]"
Pokemon,289.0,76,83,10,8,12,"[[""2018"", 36], [""2016"", 27], [""2019"", 5], [""2017"", 3], [""2025"", 2]]","[[""pokemon"", 60], [""pokémon"", 9], [""宝可梦"", 8], [""口袋妖怪"", 6]]"
Diablo,288.5,69,73,11,8,18,"[[""2021"", 18], [""2016"", 17], [""2017"", 9], [""2018"", 8], [""2023"", 7]]","[[""暗黑"", 68], [""diablo"", 5]]"
Monster Hunter,241.75,64,65,7,7,11,"[[""2017"", 20], [""2021"", 17], [""2018"", 14], [""2020"", 6], [""2023"", 4]]","[[""怪物猎人"", 43], [""怪猎"", 17], [""monster hunter"", 5]]"
Civilization,230.75,44,46,9,7,7,"[[""2017"", 10], [""2018"", 10], [""2021"", 9], [""2016"", 6], [""2020"", 4]]","[[""文明"", 46]]"
Honor of Kings,224.25,51,51,10,6,13,"[[""2017"", 27], [""2018"", 12], [""2021"", 7], [""2020"", 3], [""2019"", 1]]","[[""王者荣耀"", 51]]"
Hearthstone,213.0,49,50,8,6,16,"[[""2018"", 23], [""2016"", 17], [""2017"", 5], [""2023"", 2], [""2019"", 1]]","[[""炉石"", 49], [""hearthstone"", 1]]"
Genshin Impact,152.0,26,26,5,5,4,"[[""2020"", 12], [""2021"", 9], [""2023"", 3], [""2022"", 1], [""2025"", 1]]","[[""原神"", 25], [""genshin"", 1]]"
PUBG,135.5,20,21,7,4,2,"[[""2020"", 14], [""2021"", 4], [""2018"", 1], [""2019"", 1]]","[[""pubg"", 18], [""绝地求生"", 3]]"
StarCraft,135.5,10,10,5,5,2,"[[""2021"", 4], [""2017"", 2], [""2022"", 2], [""2016"", 1], [""2019"", 1]]","[[""星际"", 10]]"
Dark Souls,120.75,10,10,6,4,3,"[[""2017"", 4], [""2021"", 3], [""2018"", 2], [""2022"", 1]]","[[""黑魂"", 10]]"
Sekiro,114.75,9,9,5,4,3,"[[""2020"", 4], [""2022"", 2], [""2024"", 2], [""2018"", 1]]","[[""只狼"", 9]]"
Elden Ring,103.25,17,17,5,3,5,"[[""2022"", 10], [""2021"", 5], [""2024"", 2]]","[[""老头环"", 17]]"
Cyberpunk 2077,92.5,12,13,4,3,2,"[[""2020"", 6], [""2021"", 4], [""2018"", 2]]","[[""cyberpunk"", 10], [""赛博朋克"", 3]]"
Minecraft,80.0,5,5,3,3,0,"[[""2022"", 3], [""2016"", 1], [""2025"", 1]]","[[""我的世界"", 3], [""minecraft"", 2]]"
Final Fantasy XIV,61.0,6,6,3,2,0,"[[""2019"", 5], [""2020"", 1]]","[[""ff14"", 6]]"
Counter-Strike,53.25,3,3,2,2,1,"[[""2019"", 2], [""2017"", 1]]","[[""csgo"", 3]]"
Apex Legends,26.0,1,1,1,1,0,"[[""2018"", 1]]","[[""apex"", 1]]"
